Date,Timepoint,PLUG.ID,Genotype,Species,Photo.Number,Tank,Treatment,Red.Standard,Green.Standard,Blue.Standard,Red.Coral,Green.Coral,Blue.Coral,Notes
5/10/19,Time0,2392,MC_206,M. capitata,1,1,Ambient,137.619,72.768,105.327,84.241,62.436,47.693,
5/10/19,Time0,2734,MC_206,M. capitata,1,1,Ambient,137.619,72.768,105.327,114.076,87.528,59.671,
5/10/19,Time0,1050,MC_206,M. capitata,1,1,Ambient,137.619,72.768,105.327,135.262,109.618,81.399,
5/10/19,Time0,1048,MC_206,M. capitata,1,1,Ambient,137.619,72.768,105.327,111.835,86.385,64.091,
5/10/19,Time0,1477,MC_206,M. capitata,1,1,Ambient,137.619,72.768,105.327,104.851,79.09,69.192,
5/10/19,Time0,1570,MC_291,M. capitata,3,1,Ambient,139.432,75.988,109.962,111.541,87.801,64.986,
5/10/19,Time0,1574,MC_291,M. capitata,3,1,Ambient,139.432,75.988,109.962,114.86,91.012,69.18,
5/10/19,Time0,1093,MC_291,M. capitata,3,1,Ambient,139.432,75.988,109.962,127.078,102.425,77.273,
5/10/19,Time0,1639,MC_291,M. capitata,3,1,Ambient,139.432,75.988,109.962,119.21,95.783,76.258,
5/10/19,Time0,1124,MC_291,M. capitata,3,1,Ambient,139.432,75.988,109.962,128.279,103.828,81.213,
5/10/19,Time0,1539,MC_248,M. capitata,5,1,Ambient,135.713,76.806,106.567,120.029,96.153,70.152,
5/10/19,Time0,1740,MC_248,M. capitata,5,1,Ambient,135.713,76.806,106.567,135.109,108.3,74.635,
5/10/19,Time0,1271,MC_248,M. capitata,5,1,Ambient,135.713,76.806,106.567,135.891,108.462,77.484,
5/10/19,Time0,1544,MC_248,M. capitata,5,1,Ambient,135.713,76.806,106.567,131.623,107.078,76.097,
5/10/19,Time0,2555,MC_248,M. capitata,5,1,Ambient,135.713,76.806,106.567,125.539,102.26,77.108,
5/10/19,Time0,2519,MC_248,M. capitata,5,1,Ambient,135.713,76.806,106.567,128.972,105.499,83.727,
