"","V2","V3"
"1","05/10/19 10:30:00 AM",26.426
"2","05/10/19 10:45:00 AM",26.5
"3","05/10/19 11:00:00 AM",26.573
"4","05/10/19 11:15:00 AM",26.646
"5","05/10/19 11:30:00 AM",26.72
"6","05/10/19 11:45:00 AM",26.769
"7","05/10/19 12:00:00 PM",26.842
"8","05/10/19 12:15:00 PM",26.916
"9","05/10/19 12:30:00 PM",26.965
"10","05/10/19 12:45:00 PM",26.818
"11","05/10/19 01:00:00 PM",26.646
"12","05/10/19 01:15:00 PM",26.622
"13","05/10/19 01:30:00 PM",26.695
"14","05/10/19 01:45:00 PM",26.744
"15","05/10/19 02:00:00 PM",26.818
"16","05/10/19 02:15:00 PM",26.793
"17","05/10/19 02:30:00 PM",26.769
"18","05/10/19 02:45:00 PM",26.769
"19","05/10/19 03:00:00 PM",26.793
"20","05/10/19 03:15:00 PM",26.793
"21","05/10/19 03:30:00 PM",26.867
"22","05/10/19 03:45:00 PM",26.891
"23","05/10/19 04:00:00 PM",26.891
"24","05/10/19 04:15:00 PM",26.842
"25","05/10/19 04:30:00 PM",26.867
"26","05/10/19 04:45:00 PM",26.94
"27","05/10/19 05:00:00 PM",26.94
"28","05/10/19 05:15:00 PM",26.94
"29","05/10/19 05:30:00 PM",26.965
"30","05/10/19 05:45:00 PM",26.965
"31","05/10/19 06:00:00 PM",26.989
"32","05/10/19 06:15:00 PM",26.965
"33","05/10/19 06:30:00 PM",26.94
"34","05/10/19 06:45:00 PM",26.818
"35","05/10/19 07:00:00 PM",26.818
"36","05/10/19 07:15:00 PM",26.818
"37","05/10/19 07:30:00 PM",26.769
"38","05/10/19 07:45:00 PM",26.744
"39","05/10/19 08:00:00 PM",26.744
"40","05/10/19 08:15:00 PM",26.72
"41","05/10/19 08:30:00 PM",26.72
"42","05/10/19 08:45:00 PM",26.622
"43","05/10/19 09:00:00 PM",26.646
"44","05/10/19 09:15:00 PM",26.646
"45","05/10/19 09:30:00 PM",26.671
"46","05/10/19 09:45:00 PM",26.72
"47","05/10/19 10:00:00 PM",26.769
"48","05/10/19 10:15:00 PM",26.695
"49","05/10/19 10:30:00 PM",26.622
"50","05/10/19 10:45:00 PM",26.646
"51","05/10/19 11:00:00 PM",26.695
"52","05/10/19 11:15:00 PM",26.671
"53","05/10/19 11:30:00 PM",26.695
"54","05/10/19 11:45:00 PM",26.524
"55","05/11/19 12:00:00 AM",26.451
"56","05/11/19 12:15:00 AM",26.5
"57","05/11/19 12:30:00 AM",26.549
"58","05/11/19 12:45:00 AM",26.524
"59","05/11/19 01:00:00 AM",26.475
"60","05/11/19 01:15:00 AM",26.451
"61","05/11/19 01:30:00 AM",26.378
"62","05/11/19 01:45:00 AM",26.353
"63","05/11/19 02:00:00 AM",26.353
"64","05/11/19 02:15:00 AM",26.304
"65","05/11/19 02:30:00 AM",26.329
"66","05/11/19 02:45:00 AM",26.329
"67","05/11/19 03:00:00 AM",26.329
"68","05/11/19 03:15:00 AM",26.378
"69","05/11/19 03:30:00 AM",26.426
"70","05/11/19 03:45:00 AM",26.451
"71","05/11/19 04:00:00 AM",26.426
"72","05/11/19 04:15:00 AM",26.451
"73","05/11/19 04:30:00 AM",26.426
"74","05/11/19 04:45:00 AM",26.426
"75","05/11/19 05:00:00 AM",26.451
"76","05/11/19 05:15:00 AM",26.451
"77","05/11/19 05:30:00 AM",26.451
"78","05/11/19 05:45:00 AM",26.451
"79","05/11/19 06:00:00 AM",26.426
"80","05/11/19 06:15:00 AM",26.451
"81","05/11/19 06:30:00 AM",26.402
"82","05/11/19 06:45:00 AM",26.402
"83","05/11/19 07:00:00 AM",26.426
"84","05/11/19 07:15:00 AM",26.451
"85","05/11/19 07:30:00 AM",26.402
"86","05/11/19 07:45:00 AM",26.426
"87","05/11/19 08:00:00 AM",26.5
"88","05/11/19 08:15:00 AM",26.549
"89","05/11/19 08:30:00 AM",26.549
"90","05/11/19 08:45:00 AM",26.549
"91","05/11/19 09:00:00 AM",26.549
"92","05/11/19 09:15:00 AM",26.598
"93","05/11/19 09:30:00 AM",26.646
"94","05/11/19 09:45:00 AM",26.695
"95","05/11/19 10:00:00 AM",26.744
"96","05/11/19 10:15:00 AM",26.769
"97","05/11/19 10:30:00 AM",26.793
"98","05/11/19 10:45:00 AM",26.842
"99","05/11/19 11:00:00 AM",26.867
"100","05/11/19 11:15:00 AM",26.891
"101","05/11/19 11:30:00 AM",26.94
"102","05/11/19 11:45:00 AM",26.989
"103","05/11/19 12:00:00 PM",26.94
"104","05/11/19 12:15:00 PM",26.94
"105","05/11/19 12:30:00 PM",26.989
"106","05/11/19 12:45:00 PM",27.063
