"Bleaching.Score","PLUG.ID","Timepoint","Treatment","Species","Group","SpGroup"
"1",9.07309491453872,"2392","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"2",7.41321600630229,"2734","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"3",0.821558164823895,"1050","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"4",7.56757144597158,"1048","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"5",8.09681765154003,"1477","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"6",7.88946089457848,"1570","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"7",7.37492535692047,"1574","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"8",4.69287670375664,"1093","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"9",6.27764172160688,"1639","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"10",4.07604720241578,"1124","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"11",6.39762043208854,"1539","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"12",3.0006414667044,"1740","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"13",2.7104224233323,"1271","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"14",3.39950104485398,"1544","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"15",4.68904370375139,"2555","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"16",3.29676633051213,"2519","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"17",-1.42107942754092,"2363","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"18",1.62010016308739,"1721","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"19",-3.60351892939886,"2530","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"20",3.22808798316151,"2754","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"21",-3.54269463384352,"1535","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"22",-0.551584915751301,"2887","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"23",-6.58033313228516,"1344","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"24",-0.105299041988404,"1213","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"25",-7.83425883587267,"1750","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"26",1.87970118091325,"2540","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"27",4.85983722462829,"1207","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"28",-3.01534830004866,"1278","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"29",-6.4392069137329,"2535","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"30",-0.424853188743993,"2010","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"31",-2.93809311257349,"2009","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"32",-0.755198087982701,"2081","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"33",7.91348711189087,"1654","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"34",1.58684823387265,"1079","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"35",6.63415921031639,"1638","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"36",-6.34467689307252,"1106","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"37",-4.55278661823717,"1415","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"38",8.19729274014721,"3000","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"39",5.42033882592608,"1231","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"40",2.17881671646205,"1092","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"41",-2.56496513885366,"1101","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"42",6.51912442358089,"2978","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"43",8.89578394737115,"1629","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"44",8.74864809879505,"1773","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"45",4.86649687702332,"1726","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
